User,Comment,Date,Comment_ID
The Woke Salaryman,We also published an article this week – read it here: https://thewokesalaryman.com/2019/06/20/7-years-later-i-regret-my-honours-year,22/Jun/19 Jun,2323001161348724
Lolita Chiong,"Hi, could you make a simple comic on how investing works? 😢😢😅😅☠️☠️☠️   after reading many investing articles on seedly/google. I still don’t know how to invest. Like where do I buy a stock? In a bank?? In a stockmarket?Where is this stockmarket?? How do I sell the stock?? Actually what is a stock? Investing?? I don’t know where to start. Warren buffet???  I’m 20 this year and everyone is talking about investing like suddenly. And I am very stupid and I need your help woke salaryman.",22/Jun/19 Jun,2323011748014332
Aroli Marcellinus,"but currently investment products are really confusing. I mean like why people who want to invest need to learn things like businessman do? We just only wanna grow our money, not doing some business. Even like when I asked whether there is any easy investment program without studying about economics and cashflow, they just told me to study your things. Because of that, I still got doubt where should I invest my movey",2/Jul/19 Jul,2331576450491195
Dennis Adriansyah Ganda,"just make sure you know where to invest tho  your neighbour ""investment program with 50% return per month"" definitely is not best choice to go",22/Jun/19 Jun,2323076161341224
Seah Wei Bin,maybe you can make a comic about the different asset class like stocks/bonds/crypto and hard metal,2/Jul/19 Jul,2331563870492453
Jero Saddam Baylosis,Investments give you two chances (win or loose) but doing nothing is a sure looser😎 .  Am i right Phoebe Grace,16/Aug/19 Aug,2364400323875474
Wister Ng,Or we can change the race.,22/Jun/19 Jun,2323021328013374
Lhavanya DL,Jia Wei Yeoh,22/Jun/19 Jun,2323054168010090
Benjamin Jonathan Tan,Yi En Tan,22/Jun/19 Jun,2323044288011078
Joshua Lim,Audrey Koh,2/Jul/19 Jul,2331663537149153
Ruban Vicknendra Lakshmanan,Ian Lim,22/Jun/19 Jun,2323029684679205
Kevin Yeo,Jimmy Cheah Su Ern,16/Aug/19 Aug,2364442567204583
Kent Chong,Eric Yap,22/Jun/19 Jun,2323196484662525
Erik Duval Fabiaña,Jade L Ubalde,22/Jun/19 Jun,2323008644681309
Tricia Ferdinandt,Senthil Kumar,22/Jun/19 Jun,2323346617980845
Jake Tan,Pearlynn Yong,22/Jun/19 Jun,2323072674674906
Kenneth Chan,,22/Jun/19 Jun,2323295964652577
Atom Bunjitpimol,Wuttimes Thanachot Supanut Mike,Yesterday/at/19 23:39,2426857284296444
Geoffrey Koh,Die.,22/Jun/19 Jun,2323056164676557
Olivia Martina Herawati,Gábriel Gábreliusz,10/Aug/19 Aug,2360202667628573
Ceri Mon,Roger Yu,2/Jul/19 Jul,2331226777192829
Aaron William Chai,Amelia Reine this is good.,22/Jun/19 Jun,2323194457996061
Blake Edwards,Alex,11/Aug/19 Aug,2360680630914110
Nicholas Le Hugger,"Sharing the 3 lessons that I learnt when I'm 30 years old, and I'm glad that its not too late. (35yrs old now)  1) Make it a habit to save your money in the Stock Market (US Market for me), and not in the Bank because its not the Banker's interest to protect the value of your capital.  2) Investing isn't rocket science, and you don't really need to know all the financial numbers to find a good product/company to investment. All you really really need, is a short term money plan (how much to save, how much to invest, etc), a mid term learning objective, and a long term financial goal (how much you want to achieve). And MOST IMPORTANT, an understanding of your risk appetite.  3) Time is far more valuable than money. Don't trade off all your precious time to earn something that will deprecate.",22/Jun/19 Jun,2323020801346760
Anna Burgess,"Don't count on inheriting wealth or marrying well. Ex: I knew girls in college who spent all their money going to clubs/sporting events etc in hopes of meeting Mr. Right.  They joked about going to college to earn a Mrs instead of maximizing what they could have learned for a future career.  Don't invest in specific companies. Invest in a general index fund with low fees, add every month and leave it alone.  General index funds will improve or fail on the economy as a whole and single person mismanaging a company will not cause you to lose your investments. There's a reason why most funds are pegged (compared)  against index funds.   Aim for a growth mix if you're young and can tolerate risk in your portfolio (mix of general index funds, emerging market funds, high yield dividend funds) and move to more stable investments in the future (index funds / government bonds and treasuries)  If you have saved enough of a nest egg, consider real estate but first! understand what drives real estate value (location/ accessibility to jobs, location/accessibility to transit options, location/ accessibility to services and entertainment options). People think it's because something is ""trending/popular"" that drives RE sales pricing but it's really those three factors. During the depths of the RE market crash (US) I convinced my husband to buy based on those factors and did well.  Learn to leverage money properly (see above). There are people who will tell you not to go into debt, and if this is for frivolous things like fancy cars etc. then yes it makes sense. However if it is to take advantage of a business opportunity, or because the cost of borrowing is low compared to the guaranteed ROI (bond notes, CDs, etc.) then do that. Ex: if i can buy something I need for 0% interest financing, then I get that thing and put the rest of my money in a CD or similar investment vehicle that can return guaranteed interest.",24/Jul/19 Jul,2347309095584597
